Center name,E[Nq],m*Rho,Rho,E[Ns],E[Tq],E[S],E[Ts],NormalEnqueued,PriorityEnqueued,TotalEnqueued,TotalServed,E[Tq] Normal,E[Tq] Priority
Restaurant_1,0.0,2.426892190420013E-306,2.426892190420013E-308,2.426892190420013E-306,NaN,2.4648629546717657,NaN,0,0,0,177,0.0,0.0
Skull_Island,1.0181224757931549E-307,7.171629244467896E-307,1.086610491586045E-308,8.189751720261051E-307,0.02308035038061007,2.079417525573831,2.102497875954441,793,0,793,62,0.02308035038061007,0.0
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,3.20971776731764E-309,1.948690079118583E-307,3.24781679853097E-309,1.9807872567917595E-307,0.02308035038061007,0.7615536472186477,0.7846339975992578,25,0,25,46,0.02308035038061007,0.0
Harry_Potter_Journey,1.6151299805142355E-307,1.6069711726787765E-306,8.547719003610514E-309,1.7684841707302E-306,0.02308035038061007,1.5786016639597165,1.6016820143403265,1258,0,1258,183,0.02308035038061007,0.0
Jurassic_World_VelociCoaster,4.1431036940536076E-307,1.8446155273922753E-307,1.921474507700285E-309,5.9877192214458825E-307,0.02308035038061007,0.3490581757951077,0.37213852617571774,3227,0,3227,95,0.02308035038061007,0.0
Incredible_Hulk_Coaster,1.1439434122720063E-307,1.2949024660992929E-307,4.04657020656029E-309,2.438845878371299E-307,0.02308035038061007,0.8313704548653504,0.8544508052459605,891,0,891,28,0.02308035038061007,0.0
Restaurant_4,0.0,3.868864656788409E-306,3.868864656788409E-308,3.868864656788409E-306,NaN,3.2962234280663374,NaN,0,0,0,211,0.0,0.0
Doctor_Doom_Fearfall,4.724704553491564E-308,2.9698401401540147E-307,9.280750437981295E-309,3.442310595503171E-307,0.02308035038061007,1.9067361541405035,1.9298165045211135,368,0,368,28,0.02308035038061007,0.0
Restaurant_3,0.0,2.1426115729065014E-306,2.1426115729065013E-308,2.1426115729065014E-306,NaN,2.620243615843922,NaN,0,0,0,147,0.0,0.0
Flight_Hippogriff,7.90874457867066E-308,1.1278490486856138E-307,8.05606463346867E-309,1.91872350655268E-307,0.02308035038061007,1.4482332085593725,1.4713135589399826,616,0,616,14,0.02308035038061007,0.0
Restaurant_2,0.0,2.278146053680403E-306,2.278146053680403E-308,2.278146053680403E-306,NaN,2.4671129644065886,NaN,0,0,0,166,0.0,0.0
Restaurant_1,0.0,3.8283690043475136E-306,3.8283690043475136E-308,3.8283690043475136E-306,NaN,2.6989147752294915,NaN,0,0,0,255,0.0,0.0
Skull_Island,4.6907961437658735E-307,4.3248475084366207E-308,6.552799255207E-310,5.1232808946095355E-307,0.11961151808066006,0.11961151808066006,0.23922303616132012,697,8,705,65,0.11961151808066006,0.11961151808066006
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,0.0,8.019714810482673E-307,1.3366191350804457E-308,8.019714810482673E-307,NaN,3.4326157757996043,NaN,0,0,0,42,0.0,0.0
Harry_Potter_Journey,7.046174632975971E-307,5.1059737135704365E-306,2.7159434646651257E-308,5.810591176868035E-306,0.11961151808066006,4.908542188060437,5.028153706141097,1059,0,1059,187,0.11961151808066006,0.0
