SmallSeatsPercentage,PoissonParam,Priority,FunIndex,ConfInterval
0.0,1.0,SMALL,0.04955130842346274,0.0019619630024375286
0.0,1.0,PRIORITY,1.88391392723167,0.02599712464505886
0.0,1.0,NORMAL,0.5165777949307327,0.0141777609324405
0.05,1.0,SMALL,0.05265139905554633,0.0014782498446367339
0.05,1.0,PRIORITY,1.8792061585132038,0.025994126454838833
0.05,1.0,NORMAL,0.4616982111831567,0.011571831397184179
0.1,1.0,SMALL,0.05879278944842564,0.0014815795221053993
0.1,1.0,PRIORITY,1.8705521666859932,0.029068620802886552
0.1,1.0,NORMAL,0.4001747066057159,0.009286943490704322
0.15000000000000002,1.0,SMALL,0.06552399157455638,0.0014249316027917242
0.15000000000000002,1.0,PRIORITY,1.878602430410664,0.02952266102059915
0.15000000000000002,1.0,NORMAL,0.35428673871609107,0.009981598134300778
0.0,1.5,SMALL,0.04640907584061798,0.0022541530479937527
0.0,1.5,PRIORITY,1.84392520608372,0.028841046867278793
0.0,1.5,NORMAL,0.27168173869926715,0.006717198964600154
0.05,1.5,SMALL,0.0492629313862738,0.0022146241430805
0.05,1.5,PRIORITY,1.8477176518728573,0.03021659548852419
0.05,1.5,NORMAL,0.25002063266201674,0.006144901523073095
0.1,1.5,SMALL,0.05992615000419076,0.0022095747424382816
0.1,1.5,PRIORITY,1.8504552364440963,0.02740634797748439
0.1,1.5,NORMAL,0.21952958314782867,0.004502859533990845
0.15000000000000002,1.5,SMALL,0.07512941126820283,0.002245561654651629
0.15000000000000002,1.5,PRIORITY,1.8405633336355693,0.027713075877771835
0.15000000000000002,1.5,NORMAL,0.197366149534365,0.004568152998617264
0.0,2.0,SMALL,0.05336776015830933,0.003039991717707255
0.0,2.0,PRIORITY,1.8131079674580257,0.03572300179887962
0.0,2.0,NORMAL,0.1996323509592297,0.004000491684385009
0.05,2.0,SMALL,0.05308997802115599,0.0024222487333333646
0.05,2.0,PRIORITY,1.8132733976271667,0.03287179648616285
0.05,2.0,NORMAL,0.18408525008819568,0.0036364470783449678
0.1,2.0,SMALL,0.0799830263832266,0.0025286052153638315
0.1,2.0,PRIORITY,1.8101975457606658,0.03160814125501683
0.1,2.0,NORMAL,0.16446780364538688,0.0033930855459223266
0.15000000000000002,2.0,SMALL,0.11335029780083801,0.0027155342505141384
0.15000000000000002,2.0,PRIORITY,1.8130689891324183,0.03073410119392722
0.15000000000000002,2.0,NORMAL,0.14816346528716948,0.0030274967360029684
0.0,2.5,SMALL,0.05602456941330787,0.003930306323769462
0.0,2.5,PRIORITY,1.7867500223699737,0.030860507714832824
0.0,2.5,NORMAL,0.17133247602337293,0.0040355160437126215
0.05,2.5,SMALL,0.07362537788113302,0.003382381046005966
0.05,2.5,PRIORITY,1.771265250979042,0.03401481383488105
0.05,2.5,NORMAL,0.1557603328406083,0.003779500345086854
0.1,2.5,SMALL,0.1345404508766459,0.00376036363772436
0.1,2.5,PRIORITY,1.7689352912943805,0.03605822976585836
0.1,2.5,NORMAL,0.14184001201608218,0.003648423778932364
0.15000000000000002,2.5,SMALL,0.22651426380290238,0.006541182819226503
0.15000000000000002,2.5,PRIORITY,1.7889491176971566,0.03205671365608685
0.15000000000000002,2.5,NORMAL,0.12876418326289155,0.003491664529743789
0.0,3.0,SMALL,0.0679515544005762,0.004864539311647879
0.0,3.0,PRIORITY,1.7688020188740585,0.033829684516731885
0.0,3.0,NORMAL,0.15588568819268633,0.003911669204212354
0.05,3.0,SMALL,0.12045930180930105,0.004604040376923994
0.05,3.0,PRIORITY,1.7622297170417218,0.03360562299160782
0.05,3.0,NORMAL,0.14247820627396876,0.0034036485663514224
0.1,3.0,SMALL,0.2750445339911776,0.00834729652931711
0.1,3.0,PRIORITY,1.783919713497825,0.03668162067298879
0.1,3.0,NORMAL,0.12898860769465822,0.003470750366489087
0.15000000000000002,3.0,SMALL,0.5448117785602109,0.02597123972398569
0.15000000000000002,3.0,PRIORITY,1.7823560178810813,0.03295399237974343
0.15000000000000002,3.0,NORMAL,0.12030753932007329,0.003048745227899469
