SmallSeatsPercentage,PoissonParam,CenterName,Priority,AvgQueueTime,ConfInterval
0.017,1.0,Skull_Island,SMALL,202.732455038858,6.074376802241846
0.017,1.0,Storm_Force,PRIORITY,2.0320967112647708,0.026751526891119783
0.017,1.0,Flight_Hippogriff,SMALL,11.236298115813563,2.3406514305344337
0.017,1.0,Incredible_Hulk_Coaster,PRIORITY,1.9308747626552891,0.06735359657589127
0.017,1.0,Jurassic_World_VelociCoaster,NORMAL,54.72076956533781,1.0998767725485525
0.017,1.0,Storm_Force,SMALL,35.989422656191564,5.914173950399193
0.017,1.0,Incredible_Hulk_Coaster,NORMAL,26.252380670183538,2.154529647966336
0.017,1.0,Doctor_Doom_Fearfall,PRIORITY,1.2327793808073002,0.030773884800920644
0.017,1.0,Harry_Potter_Journey,PRIORITY,2.170377895113974,0.032743023207402085
0.017,1.0,Skull_Island,PRIORITY,3.2937767242602045,0.0799573587939119
0.017,1.0,Harry_Potter_Journey,NORMAL,39.30564182312461,1.0152076754986286
0.017,1.0,Doctor_Doom_Fearfall,NORMAL,5.828244895227247,0.535001102133614
0.017,1.0,Storm_Force,NORMAL,4.848064507835686,0.3177071793866375
0.017,1.0,Doctor_Doom_Fearfall,SMALL,46.83291838088536,8.402283053321055
0.017,1.0,Jurassic_World_VelociCoaster,PRIORITY,1.736575147816054,0.07656898980713019
0.017,1.0,Jurassic_World_VelociCoaster,SMALL,281.31607745445143,3.698706732988505
0.017,1.0,Flight_Hippogriff,NORMAL,18.971660149365576,2.50441056646027
0.017,1.0,Harry_Potter_Journey,SMALL,263.7867914211101,3.3826464276474275
0.017,1.0,Flight_Hippogriff,PRIORITY,1.720966010793476,0.1054463589725736
0.017,1.0,Incredible_Hulk_Coaster,SMALL,183.1027943572914,6.9983572370500315
0.017,1.0,Skull_Island,NORMAL,38.33456148549309,1.9457671519101398
0.0,1.0,Skull_Island,SMALL,292.91937675149364,7.094369861600885
0.0,1.0,Storm_Force,PRIORITY,2.0303801171451434,0.028537513529892363
0.0,1.0,Flight_Hippogriff,SMALL,7.490488599552315,1.0592040661385849
0.0,1.0,Incredible_Hulk_Coaster,PRIORITY,1.9938612487768212,0.07892816004606988
0.0,1.0,Jurassic_World_VelociCoaster,NORMAL,53.28543274927388,1.1227265696463655
0.0,1.0,Storm_Force,SMALL,42.76474121822099,7.520870333208449
0.0,1.0,Incredible_Hulk_Coaster,NORMAL,29.177519364659922,2.0540118751149885
0.0,1.0,Doctor_Doom_Fearfall,PRIORITY,1.2158132737273646,0.03539582910560822
0.0,1.0,Harry_Potter_Journey,PRIORITY,2.1531059635236574,0.03232112751750492
0.0,1.0,Skull_Island,PRIORITY,3.3064724495337945,0.0871440188458009
0.0,1.0,Harry_Potter_Journey,NORMAL,36.75627198240882,1.0001086759194633
0.0,1.0,Doctor_Doom_Fearfall,NORMAL,6.652290811852867,0.6802636187148381
0.0,1.0,Storm_Force,NORMAL,5.017686249643808,0.34566925774130064
0.0,1.0,Doctor_Doom_Fearfall,SMALL,49.065824478846835,8.12597098048153
0.0,1.0,Jurassic_World_VelociCoaster,PRIORITY,1.721745799255099,0.0743555987077258
0.0,1.0,Jurassic_World_VelociCoaster,SMALL,353.10205578699845,4.40832245640521
0.0,1.0,Flight_Hippogriff,NORMAL,20.049051990343074,2.5719829552805735
0.0,1.0,Harry_Potter_Journey,SMALL,378.613091136714,3.6992414569583345
0.0,1.0,Flight_Hippogriff,PRIORITY,1.6938029939227102,0.07548236983839869
0.0,1.0,Incredible_Hulk_Coaster,SMALL,150.4216755216983,8.077076085436294
