SmallGroupSize,SmallPercentageSize,CenterName,MultipliedRho,Interval,Rho
1,0.0,Doctor_Doom_Fearfall,28.085695039935715,0.1837941333785139,0.8776779699979911
1,0.0,Flight_Hippogriff,12.071584669279357,0.04075526161651221,0.8622560478056683
1,0.0,Harry_Potter_Journey,184.49741987170378,0.11216256243460897,0.9813692546367222
1,0.0,Incredible_Hulk_Coaster,29.91236587971179,0.08727046959993595,0.9347614337409934
1,0.0,Jurassic_World_VelociCoaster,94.03451210374678,0.0821441748128505,0.9795261677473622
1,0.0,Skull_Island,63.45393141340765,0.10234833503007745,0.9614232032334493
1,0.0,Storm_Force,51.78265254568725,0.35711402803035414,0.8630442090947875
2,0.0,Doctor_Doom_Fearfall,28.11714102708601,0.1838238132623537,0.8786606570964378
2,0.0,Flight_Hippogriff,12.130663327027838,0.042968752993829795,0.8664759519305598
2,0.0,Harry_Potter_Journey,184.17869823890703,0.13015312319172068,0.9796739268026969
2,0.0,Incredible_Hulk_Coaster,30.16401268807829,0.09575239590852516,0.9426253965024466
2,0.0,Jurassic_World_VelociCoaster,94.1867701838452,0.05692537979125588,0.9811121894150542
2,0.0,Skull_Island,63.97792878667158,0.13253585154283767,0.9693625573738118
2,0.0,Storm_Force,51.793340610007206,0.359842570445007,0.8632223435001201
1,0.017,Doctor_Doom_Fearfall,28.144497689826427,0.17762079035209585,0.8795155528070758
1,0.017,Flight_Hippogriff,12.15168924601431,0.04707133704368268,0.8679778032867365
1,0.017,Harry_Potter_Journey,183.98319073514205,0.13569860298614692,0.9786339932720322
1,0.017,Incredible_Hulk_Coaster,30.143177157986635,0.07115158255062601,0.9419742861870823
1,0.017,Jurassic_World_VelociCoaster,94.0137660021434,0.08326641436112368,0.9793100625223271
1,0.017,Skull_Island,63.3719814313275,0.09794731435059183,0.9601815368382954
1,0.017,Storm_Force,51.783543418893046,0.3767623862997739,0.8630590569815507
2,0.1,Doctor_Doom_Fearfall,28.28971970805101,0.21093350903176644,0.884053740876594
2,0.1,Flight_Hippogriff,12.398550504793118,0.07158688007643381,0.8856107503423656
2,0.1,Harry_Potter_Journey,184.04439256869225,0.11201475683309035,0.9789595349398523
2,0.1,Incredible_Hulk_Coaster,30.382524420603318,0.11077013526964755,0.9494538881438537
2,0.1,Jurassic_World_VelociCoaster,94.12756911064743,0.0537784108615011,0.9804955115692441
2,0.1,Skull_Island,63.87548297482859,0.09485068212854807,0.9678103481034636
2,0.1,Storm_Force,51.909254156490164,0.37774226184468984,0.8651542359415028
